순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,줄거리,장르
631,스콜피온 인 러브,2014-03-21,1040000,0.0,130,1.0,스페인,스페인,더컨텐츠콤(주),"외국인들에게 무자비하게 폭행을 자행하는 파시스트들과 어울리며 의미 없는 시간들을 보내고 있는 훌리안. 하지만 가족을 운운하는 그들과 함께하면서도 마음 한구석 짙은 외로움을 떨쳐내지 못하던 그는 우연히 복싱을 접하게 된 이후, 이전엔 느껴보지 못했던 강렬한 도전 의식에 사로잡힌다. 고된 훈련을 감내해내는 동안 함께 운동하는 동료들과의 관계를 통해 점차 변화하기 시작하는 훌리안. 더욱이 그는 체육관에서 일하는 혼혈인 알리사와 사랑에 빠지면서 급격히 변하기 시작한다. 하지만 이를 곱지 않은 시선으로 바라보던 그의 친구 루이스는 훌리안을 다시 돌려놓기 위해 계획을 짜기 시작한다.","액션,드라마"
631,무간지옥 - 아웃 오브 인페르노,2014-01-22,1040000,0.0,130,1.0,홍콩,"홍콩,중국",더컨텐츠콤(주),"건물 전체를 타고 오르는 최악의 화재 상황! 그곳에 반드시 지켜 내야 할 사람이 있다!
3일간의 폭풍우가 그친 후, 기온이 34도까지 오르고 상대습도가 99%에 다다르고 있는 광저우. ‘퀑(고천락)’은 소방관을 그만두고 시작한 화재 경보 사업이 번창하자, 그가 소방 설비를 관리하고 있는 초고층 주상복합빌딩에 사무실을 마련해 오픈 파티를 개최한다. 한편 아직 소방관으로 현장에서 근무 중인 ‘퀑’의 형 ‘타이콴(유청운)’은 바쁜 업무 때문에 임신 한 아내 ‘람시록(이심결)’에게 소홀하고, 오늘도 역시 함께 병원에 가지 못해 그녀를 서운하게 한다.
모든 게 여느 날과 다름없이 평온해 보이던 일상. 하지만 이상기온으로 인해 소방 시스템 서버가 정체인 빌딩에서 예기치 못한 화재가 발생하고, 소식을 듣고 출동에 나선 ‘타이콴’은 빌딩에 있는 산부인과를 홀로 찾은 아내의 전화를 받는다. 그리고 이를 우연히 보게 된 ‘퀑’은 여전히 원리원칙만을 고수하며 남편이기 보단 소방관의 의무를 앞세우는 형에게 과거와 같이 분노하는데…","드라마,액션,스릴러"
637,화이트 갓,2015-04-02,1016000,0.0,128,23.0,헝가리,"헝가리,독일,스웨덴",(주)나이너스엔터테인먼트,"“하겐, 여기 있어..! 꼭 데리러 올게”

순종이 아닌 잡종견에게는 무거운 세금을 부과하는 헝가리의 정책으로 인해 하루아침에 집에서 쫓겨나게 된 개 ‘하겐’과 그를 찾아 헤매며 방황하는 13살 소녀 ‘릴리’.
인간의 손에 이용당하고 학대당하던 ‘하겐’은 생존을 위해 인간을 적대시 하게 되고 결국 유기견들의 우두머리가 되어 인간들에게 역습을 가한다.
도시 전체를 점령한 개떼들과 그를 통솔하는 ‘하겐’은 마침내 ‘릴리’와 다시 마주하게 되는데..

4월 2일, 업그레이드 된 감동과 상상이상의 반전이 펼쳐진다!","드라마,스릴러"
638,욕망의 하녀,2014-05-22,335000,0.0,127,1.0,일본,일본,(주)영화사폴,하녀 로봇과 사는 남자의 이야기를 그린 내용,드라마
639,갤로워커: 블레이드의 귀환,2014-04-10,620000,0.0,123,4.0,미국,미국,미디어브로스(주),"저주 받은 자들의 부활이 시작된다!
타고난 총잡이, ‘아만’이라는 남자가 있다. 아만은 한 집에서 나고 자란 ‘수에노’라는 여인을 사랑한다. 아만이 집을 비운 사이 그녀는 다섯 명의 악당들에게 겁탈을 당하게 되 한 악당의 아이를 임신하게 된다. 이 사실을 알게 된 아만 은 그녀를 지켜주지 못했다는 죄책감에 그녀 곁을 떠나게 되고 그녀는 아이를 출산하다 결국 죽게 된다. 아만은 사랑하는 여인의 목숨을 앗아간 다섯 악당들을 모두 찾아 죽음으로서 복수를 하고 돌아오다 어떤 한 남자의 총에 맞아 죽게 된다. 그의 죽음을 너무나 슬퍼한 어머니는 아들을 죽음에서 살리기 위해 신과 위험한 거래를 하게 되는데…","액션,판타지"
640,로미오와 줄리엣,2014-10-23,1505000,0.0,110,7.0,미국,미국,(주) 인스터 글로벌,,공연
641,운명의 산 낭가 파르밧,2013-12-12,569000,0.0,107,6.0,독일,독일,주식회사 마운틴픽쳐스,"“나는 산을 정복하려고 이 곳에 온 것이 아니다.
또 영웅이 되어 돌아가기 위해서도 아니다.
나는 두려움을 통해서 이 세계를 새롭게 알고 싶고 느끼고 싶다...”

수많은 독일의 산악인들에게 정복의 목표였던 산이 있었다. 바로 낭가 파르밧. 이 곳은 수직에 가까운 경사로 인해 상부에 눈이 쌓이지 않아 원주민들은 ‘벌거벗은 산’이라고 부르는 곳이다. 라인홀트와 건터 형제는 어린 시절부터 산악인이었던 아버지의 영향으로 산을 좋아하는 젊은이들. 이들은 미지의 산으로 불리는 낭가 파르밧 원정대에 합류하여 등반에 참여하게 된다. 하지만 악명 높은 낭가 파르밧은 이들의 도전을 쉽게 받아들이지 않고 라인홀트와 건터 형제를 비롯한 원정대는 점점 지쳐 가는데...",드라마
641,고딩감독,2014-12-18,856000,0.0,107,1.0,캐나다,캐나다,(주)마노엔터테인먼트,"우리들의 진짜 영화가 시작된다!
자뻑지존 절대순수 똘끼충만 고딩감독!!

자뻑지존, 똘끼충만 맷은 영화처럼 살기를 꿈꾸는 영화광이자 10대 고딩감독이다. 절친 오웬과 함께 학교 일진들을 소재로 영화를 만들고 있는 그는 지금까지 보아왔던 영화들의 온갖 멋진 장면을 흉내 내면서, 실제상황과 극영화 기법을 넘나들며 작업 중이다.

그는 영화 <다크나이트>의 ‘조커’, <존 말코비치되기>의 여장 남자 가수, <호밀밭의 파수꾼>, <스타워즈>, <유주얼 서스펙트>, <배트맨> 등 수많은 영화의 장면들을 인용하고, 게러지 밴드 “베스트 코스트”의 음악으로 오웬과 함께 출연한 뮤직비디오를 삽입하는 등 10대 소년 감독으로서의 꿈과 열정을 여과 없이 반영한다.

오웬이 같은 학교 친구 크리스와 사랑에 빠지게 되면서 두 사람은 영화 찍기와 더불어 사랑을 위한 작전을 펼치고, 영화 수업 교사인 멀든의 반대에 부딪쳐 원하는 방향으로 영화제작을 하지 못하는 상황이 되기도 하지만 그 무엇도, 그 누구도 맷의 열정과 꿈을 꺾을 수 없다..","코미디,드라마"
643,몬스터즈,2014-12-16,500000,0.0,100,1.0,일본,일본,오퍼스픽쳐스(유),김민석 감독이 연출한 <초능력자>(2010)의 일본 리메이크작.,드라마
643,여의사: 욕망의 진료실,2014-03-13,200000,0.0,100,1.0,일본,일본,(주)영화사폴,"욕망의 진료실에 방문한 환자분을 환영합니다!

아름다운 외모, 황금비율의 바디, 그리고 지성미까지 모두 갖춘 최고의 재원 레이코! 사실 그녀는 섹스를 위해서라면 어떤 행동이든 서슴지 않는 쾌락주의자이다. 병원에 방문한 환자들과 차례로 관계를 맺으며 황홀한 의료 생활을 보내던 어느 날, 병원을 방문한 대학생 켄타로가 그녀에게 사랑을 고백한다. 서로의 진심을 확인한 두 사람은 그녀의 집에서 동거를 시작하지만 레이코는 다른 사람들과의 섹스를 멈출 수가 없다. 욕망으로 가득한 여의사 레이코와 그녀의 음란한 생활을 지켜볼 수밖에 없는 켄타로. 두 사람의 사랑이 흔들리기 시작한다.","성인물(에로),드라마"
643,동사서독 리덕스,2013-12-05,770000,0.0,100,37.0,홍콩,"홍콩,대만","(주)디스테이션,(주)엔케이컨텐츠,(주)앤드플러스미디어웍스","갖지 못하더라도 잊지는 말자!
그러나 잊으려고 노력할수록 더욱 선명하게 기억난다!

백타산의 황무지 주막에 은거하는 구양봉(장국영 분)은 암살을 사주하는 중개인. 그는 10년 전, 검객의 꿈을 위해 사랑하던 여인 자애인(장만옥 분)을 형의 여자로 내어주고 스스로 냉소적인 사람이 되었다. 그에게는 매년 복사꽃이 피는 시절이면 찾아와 함께 술을 마시고 떠나는 친구 황약사(양가휘 분)가 있고 그 역시 구양봉 만큼이나 사랑에 대한 슬픈 상처를 가지고 있다. 어느날 모룡언(임청하 분)이 찾아와 자신의 여동생과의 결혼을 어긴 황약사를 죽여달라며 구양봉을 찾아오고 검객에게 남동생을 잃었다는 완사녀(양채니 분)는 돈 한푼 없이 나귀와 달걀만으로 살인청부를 부탁한다. 점점 시력을 잃어가는 한 검객 맹무살수(양조위 분)는 돈을 벌어 고향에 돌아가겠다며 살인청부일을 자청해서 나서고 협객으로 이름을 떨치고 싶은 가난한 무사 홍칠공(장학우 분)도 구양봉의 앞에 나타나 빠른 검술로 그에게 인정받으려 한다.
이들은 하나같이 모두 아픈 과거를 잊고 새로운 삶, 새로운 사랑을 꿈꾸는 데…","액션,드라마"
643,도둑,2014-05-01,200000,0.0,100,1.0,독일,"독일,오스트리아",(주)무브먼트 픽쳐스,"“나는 절대 잡히지 않는다!”

절도 혐의로 구속되어 실형을 선고 받은 ‘요한 레텐베르거’. 그는 교도소에 수감된 후 오로지 달리는 것에만 집착한다. 그러던 중 가석방으로 풀려난 ‘레텐베르거’는 가석방 담당관의 구직권고를 무시한 채 마라톤 대회 출전을 위한 연습에만 열중한다. 오스트리아 빈에서 열린 국제 마라톤 선수권대회에 무명의 선수로 출전한 그는 대회 우승을 거머쥐는 기적을 만들어 낸다. 그 후, 언론의 집중적인 조명을 받게 되지만 그에게는 아무도 모르는 비밀이 있다. 출소 후 줄곧 도심의 은행을 돌며 은행강도 행각을 이어왔던 것. 혼자 짧은 시간에 은행을 턴 후 감쪽같이 사라져 버리는 그의 은행강도 행각은 이내 사회적 이슈가 된다. 그의 이러한 완벽한 이중 생활은 아주 우연한 사건으로 인해 발각될 위기에 처하는데...",스릴러
643,불량경찰4: 부정부패소탕작전,2014-03-06,200000,0.0,100,1.0,스페인,스페인,(주)소나무픽쳐스,"다시 돌아왔다! 이번엔 교도소를 정리하러 왔다!
또랑뜨는 경찰의 운명을 좌우할 커다란 작전에 투입되지만 실패를 하게 되고, 마지막 기회를 부여 받는다. 교도소에 위장 투옥되어 교도소의 비밀을 파헤치는 것. 또랑뜨는 곧 작업을 시작하게 되고 그를 도울 동료들을 모은다. 하지만 작전 중 그는 다른 부정 경찰의 음모로 이 작전에 투입되었음을 알게 되지만 이미 그는 누명까지 쓴 상태였다. 그는 탈출 계획을 세우게 되고 교도소 보안 직원과 수용자 사이의 축구 경기를 연다. 축구 경기가 열리는 동안 탈출에 성공한 그는 자신을 위기에 빠뜨린 부정 경찰들에 대한 복수를 계획하는데…",액션
643,맛있는 섹스의 기술,2014-02-20,200000,0.0,100,1.0,일본,일본,(주)영화사폴,"미녀 섹시 탐정 요코! 최악의 방송 스캔들을 막아라!
아사우리TV 방송국의 간판 아나운서 나미노 요코(호리코시 노리)! 하지만 그것은 겉 모습에 불구하다. 그녀의 숨겨진 정체는 회장 직속 아나운서로 회사에 관련된 트러블을 비밀리에 처리하는 해결사였던 것! 그녀에게 내려진 특명은 회장 앞으로 배달 된 협박 편지 수사이다. 메일에는 에이스 프로듀서 아키야마의 스캔들 사진을 보여주며 아키야마가 담당하는 모든 프로그램의 방송 중지를 요구 했다. 주주 총회를 앞둔 아침 아사우리TV에 이 스캔들이 언론에 발각되면 큰 타격을 받게 된다. 부하를 가혹하게 부리는 아키야마의 부하 직원들의 소행이 아닐까 의심하면서 요코는 조사를 시작하고 개성과 색기 넘치는 동료 여자 아나운서들과 사건을 추적해가며 점점 더 진범의 실체에 가까워지는데…",드라마
649,죽음의 천사,2014-05-29,609000,0.0,96,3.0,아르헨티나,"아르헨티나,프랑스,스페인,노르웨이",(주)컴퍼니엘,"또래보다 왜소한 체격의 열두 살 소녀 ‘릴리스’ 가족 앞에 갑자기 나타난 미스터리한 의사 ‘헬무트’. 그는 ‘릴리스’ 가족이 경영하는 호텔에 머물며 ‘릴리스’와 임신한 ‘릴리스’의 엄마까지 세심하게 돌봐주지만, ‘릴리스’의 아빠는 과도한 그의 호의를 탐탁지 않게 여긴다. 하지만 시간이 흐를수록 점점 ‘헬무트’는 ‘릴리스’ 가족과 친밀해지고 그의 알 수 없는 실험은 더욱 대담해진다. 어느 날, 그의 정체가 발각되려던 찰나 도피를 준비하던 그의 방에서 ‘릴리스’ 가족의 모든 것을 기록한 충격적인 실험 노트가 발견 되는데…

역사상 가장 잔혹했던 기록!
수많은 유대인을 학살하고 실험했던 그의 비하인드 실화가 밝혀진다!","스릴러,드라마"
650,시베리안 에듀케이션,2014-06-04,695000,0.0,92,5.0,이탈리아,이탈리아,찬란,"“이제, 모든 가르침은 끝났다!”
유년시절, 시베리아의 범죄조직 안에서 함께 교육을 받으며 자란 절친한 친구 콜리마와 가가린. 모든 것이 빠르게 변해가는 세상 속에서 콜리마와 가가린은 조직의 엄격한 규칙 때문에 갈등을 일으키고, 배신과 복수라는 비극적 운명 속에 놓이게 되는데… 서로의 심장에 칼을 겨눌 수 밖에 없었던 두 남자의 거친 드라마가 시작된다.",드라마
651,악령,2014-06-26,560000,0.0,80,1.0,캐나다,캐나다,판씨네마(주),"<큐브> 빈센조 나탈리 감독 신작!
<마마> <오펀: 천사의 비밀> 제작진이 선사하는 미스터리 공포!

어제처럼 오늘도 같은 시간에 일어나 하루를 보내는 리사.
어느 날, 자신을 부르는 낯선 속삭임에 이끌려 지하실로 향한 리사는
그 곳에서 죽은 자들의 흔적이 담긴 물건을 보고
자신과 가족들이 수년 전 악령에게 살해당했고
혼령인 채로 집에 갇혀있다는 점을 기억해낸다.

그러던 중 리사는 자신을 죽인 악령이
현재 이 집에 살고 있는 소녀와 가족의 목숨을 위협하고 있다는 것을 알게 되는데…
악령의 위협을 피해 살아있는 소녀에게 혼령의 메시지를 보내는 리사.
과연 리사는 살아있는 자, 그리고 죽은 자 모두의 혼령을 해방시킬 수 있을까…

산 者와 죽은 者… 누구도 이 집을 벗어날 수 없다!","미스터리,공포(호러)"
652,퍼지,2014-05-29,500000,0.0,79,3.0,핀란드,"핀란드,에스토니아",(주)마노엔터테인먼트,"한 남자를 사랑한 자매..
스탈린의 공포 정치를 겪은 ‘알리드’는 고향 사람들이 숱하게 시베리아로 강제 추방 당한 가운데 홀로 살아 남아 수십 년째 외딴 집을 지키고 있다. 어느날 밤, 그녀는 러시아 마피아에게 붙잡혀 성 노예로 착취 당하다가 극적으로 탈출한 소녀 ‘자라’를 발견한다. 상처받은 두 여인이 서로를 알아가는 가운데, 에스토니아가 구 소련의 지배하에 있던 시절, 한 가족이 견뎌야 했던 비극이 밝혀진다.

남자를 지키기 위한 한 여자의 기나긴 형벌의 시간..
형부를 사랑한 죄로, 형부를 살리기 위해 숱한 고문을 견디고 심지어 소련 경찰과 결혼까지 하게 된 ‘알리드’. 사랑하면 안 되는 한 남자를 사랑해서 모진 시간과 아픔을 품고 살아왔던 그녀는 친언니의 손녀 ‘자라’가 찾아오면서 또다시 격동의 인생을 맞게 된다.
영화 <퍼지>는 역사의 소용돌이에 휘말려 ‘살아남은 자’로서의 죄책감과 회한을 담은 한 여성의 이야기와 함께 방대한 스케일과 예리한 필체로 그려진다.",드라마
653,에일리언 인베이젼,2014-07-17,350000,0.0,70,1.0,영국,영국,(주)포커스엔터테인먼트,"극비의 수송물을 운반하던 군의 화물 수송기가 추락한 사실을 모른 채 연인으로부터 이별 통보를 받은 찰리는 짐을 챙기기 위해 단짝 마크와 함께 창고 스토리지 24로 들어간다. 그곳에서 여자 친구 셸리와 서로의 친구인 니키, 크리스를 만나 언성을 높이 던 중 갑자기 전기가 나가면서 창고 건물에 갇히게 된다. 폐쇄된 창고 안에 괴음이 울려 퍼지면서 수리공과 창고직원이 알 수 없는 존재에 의해 차례로 죽임을 당하자 찰리와 친구들은 외계의 괴생명체로부터 살아남기 위한 혈투를 시작하는데...","SF,공포(호러),스릴러"
653,집으로 간다,2015-05-21,350000,0.0,70,1.0,일본,일본,하준사,"나의 고향은 후쿠시마..
그렇게 삶은 다시 시작된다

원전 사고와 대지진 후 폐허가 되어버린 후쿠시마. 가장 풍요로운 땅이었던 그곳은 이제 사람이 살 수도, 농사를 지을 수도 없는 절망의 상징이 되었다. 오랫동안 농사를 지어온 소이치의 집도 근처 도시로 떠나지만, 보상금을 거부한 채 가족들은 뿌리 없이 흩어진 나무처럼 마음이 메말라간다.
그러던 중 소이치는 오래 전 마을을 떠났던 동생 지로가 후쿠시마의 집으로 돌아와 살고 있다는 소식을 듣게 된다. 가족의 비밀스런 상처를 가슴에 안고 마을을 떠났던 지로는 사람들이 모두 떠나고 나자 그리웠던 고향을 다시 찾아온 것. 그곳에서 지로는 홀로 농사를 지으며 남은 일생을 보내겠다고 하며 모두를 놀라게 한다.
기약할 수 없는 희망을 향해 자연은 생명의 힘으로 정화를 시작하고
돌이킬 수 없는 과거의 상처 위에 가족은 하나의 마음으로 다시 시작할 수 있을까…",드라마
655,팝 리뎀션,2015-03-10,485000,0.0,61,1.0,프랑스,프랑스,(주)미디어데이,"죽마고우인 알렉스와 JP, 파스칼과 에릭은 주변의 시선에도 아랑곳하지 않고 15년 동안 메탈 밴드 ‘데드 마카베’ 활동을 함께 하고 있다. 하지만 이제 삼십대에 들어선 이들은 서서히 밴드 활동에 염증을 느끼고 오직 리더인 알렉스 만이 열정을 불태우고 있다. 멤버들 간의 갈등이 고조될 즈음 알렉스는 꿈의 무대인 메탈 페스티벌 ‘헬페스트’에 ‘데드 마카베’가 참가하게 됐다고 알린다. 최고의 메탈 아티스트 도지 쿠퍼가 서는 무대에 연주가 예정된 한 밴드를 대신하여 무대에 오를 행운을 얻은 것. 드디어 ‘헬페스트’를 향해 떠나는 네 친구. 하지만 알렉스의 과도한 열정으로 인해 밴드의 운명은 예상하지 못한 방향으로 흘러가고, 메탈 대신 시골 딸기축제 무대에 올라 자신들이 멸시하던 비틀즈 풍의 노래를 연주해야 한다. 밴드 해체의 위기에 놓인 알렉스와 세 친구. 과연 이들은 무사히 ‘헬페스트’의 무대에 오를 수 있을까?",드라마
656,블러드 워,2014-07-03,300000,0.0,60,1.0,영국,영국,(주)포커스엔터테인먼트,"작은 마을에서 끔찍하게 죽임을 당한 여학생 살인사건이 발생하고 같은 경찰서에서 근무하는 형 조(폴 베타니)와 동생 크리시(스티븐 그레이엄)는 사건을 해결하기 위해 고군분투한다. 심증은 있지만 물증이 나오지 않자 조는 심문하던 중 용의자를 우발적으로 살해하게 된다. 얼마 후 여학생 살인 사건의 진범이 잡히고 형제는 죄책감에 시달린다. 한편, 용의자의 어머니가 아들이 실종됐다고 경찰서에 찾아오면서 동료 형사 로버트(마크 스트롱)는 본능적으로 두 형제를 의심하기 시작하는데…","액션,스릴러"
657,진격의 애인 감독판,2014-09-10,270000,0.0,54,1.0,일본,일본,(주)도키엔터테인먼트,"엄격한 훈련을 경과해서 전사가 된 미사카 클레젠은, 동료와 함께 인류의 적인 수수께낀 거대 거인들과 싸우고 있었다. 매일 거인을 쓰러뜨려 가는 병사들 이었지만 거인은 방호 벽 밖에서 차례로 나타난다. 어느 날 작전을 마치고 돌아오자 술을 마시던 동료들과 마주친다. 자신이 사랑하는 카렌이 거인이 되는 것을 목격한 사람들은 그를 감옥에 가두었기 때문에 미사카는 그를 구해달라고 한다. 대신 동료들은 그녀에게 옷을 벗어보라고 요구한다. 하나 하나 옷을 벗는 미사카. 막 희롱이 시작되려는 찰나 대장이 말리러 들어와 미사카는 곤경에서 벗어난다. 그리고 다음 날, 갑자기 여성형 거인이 나타나고, 그 수 많은 동료들 목숨을 잃어 갔다. 그런데 그 여성의 거인은 다른 남성의 거인들도 공격하였다. 미사카는 몸과 마음 전부를 걸어서 여성형 거인에 직면한다. 하지만 여성형 거인에게 목숨을 잃을 위기에 처한 미사카는 정신을 잃는다. 얼마 후 깨어난 미사카는 자신이 부대로 돌아왔음을 깨닫고 앞에 있는 대장을 발견한다. 대장은 미사카가 거인화 되어서 사람들을 죽였다며 미사카를 추궁하기 시작하고 영문을 모르는 미사카는 그저 대장에게 당하고 만다. 눈물을 흘리며 카렌에게 마음 속으로 미안해하는 미사카.",성인물(에로)
657,유혹,2014-09-18,270000,0.0,54,1.0,홍콩,홍콩,씨네그루(주)다우기술,"청춘이여, 사랑하고 갈망하고 유혹하라!

죽마고우인 세 남자, 아담, 천성, 가락은 20년 만에 SNS를 통해 재회한다. 어렸을 때 영국으로 건너가 엘리트 코스를 밟아온 아담과 고등학교를 중퇴하고 재능을 살려 미용사로 일하고 있는 천성, 취직이 힘든 문학사를 전공하고 대학에서 시간강사로 일하고 있는 가락. 그들은 약속장소에서 세 명의 매력적인 여인을 마주치게 된다. 유명 정치인의 뇌쇄적인 아내 줄리를 만나게 된 아담. 재력, 미모를 다 가진 이혼녀 린다를 만나게 된 천성. 청순하지만 요염한 제자 설이에게 끌리는 가락.
그 날 밤, 술집에서 시작된 그녀들과의 우연한 만남은 점점 그들을 타락하게 만드는데…,",멜로/로맨스
657,흉악-어느 사형수의 고발,2014-09-25,270000,0.0,54,1.0,일본,일본,(주)수키픽쳐스,"연쇄살인을 저지른 대가로 사형 선고를 받지만, 이에 불복하여 항소를 한 스도. 그러던 그가 지금껏 숨기고 있던 살인 사건의 전말을 기자인 후지에게 모두 고백한다. 전혀 밝혀지지 않은, 아무도 모르는 3건의 살인사건과 공범자의 존재를 폭로하며 이 모든 것을 다 기사로 써달라고 한다. 하지만 편집장은 사형수의 마지막 발악이라고 무시하고, 이에 후지는 스도의 파편과도 같은 진술을 토대로 사건을 홀로 파헤쳐가는데….

사건이 재구성될수록 밝혀지는 추악한 진실,
극악무도한 진짜 범인의 얼굴을 마주한 후지는 이 모든 것을 밝힐 수 있을까?",스릴러
657,범죄도시,2014-10-23,270000,0.0,54,1.0,미국,미국,(주)미디어데이,"브라이언(마크 러팔로)과 폴리(에단 호크)는 어린 시절부터 뒷골목 세계에서 거칠게 성장하며 추운 보스턴의 겨울을 버텨낸다.
시간이 흘러 어느덧 가정을 이루고 두 아들을 둔 브라이언은 계속되는 불안정한 생활에서 벗어나고 싶어하면서도 폴리와 함께 점점 더 큰 돈이 걸린 위험한 범죄에 뛰어들게 된다.
결국 화물트럭을 털다 수감생활을 하게 되는 두 사람.
출소 후 조직 내 입지에 대한 불안함과 생활고를 견디다 못해 현금 수송 차량을 털어 크게 한 방 터뜨리기로 결심하지만 마지막 순간의 선택은 이들의 운명을 정반대로 바꾸어놓는데..","액션,스릴러"
657,낮과 밤-넘버 원,2014-11-05,270000,0.0,54,1.0,일본,일본,(주)도키엔터테인먼트,"아야카는 취업 활동에 열심이지만 좀처럼 취업은 되지 않고, 낮에는 언제든지 면접에 갈 수 있는 아르바이트를 찾다 보니 레이라라는 이름으로 호스테스 일을 하게 된다. 예상외의 적성을 보이며 호스테스 넘버 원이 된 그녀. 하지만 아야카의 남자 친구는 그런 그녀에게 불만을 품고 그녀의 저금을 털어 자취를 감춘다. 그리고 때맞춰 그녀를 채용한 회사에 출근을 시작하는 그녀. 첫 출근날부터 지하철 안에서 치한을 만나지만, 당장 돈이 궁한 그녀는 꾹 참고 출근한다. 그러나 그 회사의 사장은 그녀가 호스테스일 때 그녀를 만나기 위해 목을 맸던 손님. 그는 건강 기능 식품 판매 영업을 강요하며 갖은 희롱을 일삼는다. 분한 마음에 미인계를 써 계약을 따내려 하는 그녀지만, 그조차 쉽지 않다. 그리고 우연히 지하철에서 치한 당하던 것을 목격한 손님의 오해로 그녀는 지하철에서 또다시 희롱당하게 되고, 선처를 바라는 그에게 대신 계약을 요구한다. 그리고 그녀는 영업 넘버 원으로 거듭난다.",성인물(에로)
657,누드 모델의 고백,2014-11-12,270000,0.0,54,1.0,일본,일본,페퍼민트픽쳐스,"독자 모델로 눈길을 끌며 이제 막 부상하려 하는 나츠키. 그녀는 동료 유이와 함께 유명한 사진 작가 야마시로와 화보를 찍게 되고, 사무소 사장과 함께 넷이서 술자리를 가진다. 평소엔 좀처럼 취하지 않는 그녀였지만 이상하게 만취해 몸을 못 가누게 되고, 같은 방면인 야마시로가 그녀를 데려다 주겠다며 나선다. 하지만 그건 그의 새빨간 거짓말. 그는 술에 취한 나츠키를 강제로 범하고 그 장면을 비디오로 찍기까지 한다. 그리고 그 비디오를 빌미로 AV 촬영을 강요한다. 울며 겨자먹기로 계약서에 사인을 하는 그녀. 억지로 가게 된 촬영 현장에서 감독이 스태프를 폭행하는 것을 목격하고 그들이 시키는 대로 피임 없이 성관계까지 하게 된다. 하지만 촬영을 거듭하는 사이 감독과 다른 배우들의 칭찬에 인정받는 기분을 느끼게 되고, 무리한 촬영 스케줄로 중요한 클라이언트와의 계약을 날리고 사무소 사장에게 모욕을 받은 그녀는 아예 마음을 바꿔 AV 배우로 나서게 된다.",성인물(에로)
657,노리개 강사 히카루,2014-11-19,270000,0.0,54,1.0,일본,일본,(주)도키엔터테인먼트,"히카루는 결혼한 지 얼마 안 되는 새댁. 손재주가 뛰어나 뜨개질 가게를 열고 싶어 하지만 지금은 다정한 남편을 위해 전업 주부로 지내고 있다. 그러던 어느 날, 동네의 친한 이웃 오카자키가 집에 놀러 왔다가 히카루의 작품을 보게 되고, 그녀에게 자치회가 주관하는 평생학습센터의 뜨개질 강습을 맡아 줄 것을 부탁한다. 설레는 마음으로 수업을 시작하는 히카루. 학생들 모두 성실하게 배워 기쁘지만 그녀는 돌아오는 엘리베이터에서 알 수 없는 야릇한 손길을 느끼거나, 급기야는 자신의 치마 속을 촬영한 사진을 익명으로 받거나 하게 된다. 고민하다 오카자키에게 털어놓는 그녀. 오카자키는 수강생들을 한 명씩 만나 이야기를 듣고 범인을 찾아낸다. 범인은 바로 손자에게 장갑을 떠주고 싶다던 인자한 야스다 씨. 히카루가 죽은 아내와 닮아 자기도 모르게 사진을 찍었다며 선처를 빌고, 히카루는 그를 용서한다. 하지만 그런 일이 있은 직후, 히카루는 수업 후 정체를 알 수 없는 괴한에게 강간을 당하게 된다. 그리고 우연한 기회에 범인이 야스다가 아니라, 오카자키의 아들 쥰이었음을 알게 된다.",성인물(에로)
657,끝장난 간호사-변태 간호 실습,2014-10-01,270000,0.0,54,1.0,일본,일본,(주)도키엔터테인먼트,"신입 간호사 마키는 싹싹하고 밝아 환자들에게도 평판이 좋다. 짓궂은 환자들은 그녀를 놀리기도 하지만 나쁜 마음으로 그러는 사람은 없다. 하지만 병원의 진료 부장 우지이에는 그녀에게 연수의들의 검진 실습을 돕는 학용 환자가 되기를 강요하고, 진찰을 빌미로 변태 행위를 한다. 저항하지 못 하고 당하고 만 그녀는 환자 호리의 다정한 말에 그와 사랑을 나누고 치유를 받게 된다.
대학생 유이는 남자 친구인 코지와의 관계에 만족하면서도 자유분방하게 다른 남자들과의 만남도 즐기고 있다. 그러던 어느 날, 학교 친구인 마리, 에미와 함께 미팅을 나갔다가 만취해 술집의 남녀 공용 화장실에서 잠시 잠이 들고, 옆자리 손님이었던 남자에 의해 추행을 당하게 된다. 하지만 술에 취해 정신을 잃은 그녀는 기억하지 못 하고, 친구들과 평범하게 귀가해 잠에 든다.
고등학생 유우키는 대학 시험을 보기 위해 상경해 의붓 오빠인 오사무의 집에 묵게 된다. 오사무는 고향과는 달리 도쿄의 지하철에는 치한이 많으니 조심하라고 당부한다. 사실 오사무를 줄곧 짝사랑해 왔던 유우키는 자신의 마음을 알리고 오빠곁을 떠난다",성인물(에로)
